round_shots,472,307,93,122,72,60,3
round_queries,472,1535,2139,8418,15768,39900,18837
round_k,2,11,34,109,332,1036,3139
round_shots,518,239,120,79,125,56,8
round_queries,518,1195,2760,5925,29375,40600,53032
round_k,2,11,37,117,362,1101,3314
round_shots,530,305,183,248,215,68,3
round_queries,530,1525,4209,19096,49665,48076,19233
round_k,2,11,38,115,353,1060,3205
round_shots,440,195,116,86,122,62,4
round_queries,440,975,2204,5590,24522,37510,23372
round_k,2,9,32,100,302,970,2921
round_shots,647,266,93,89,83,58,7
round_queries,647,1330,2139,6141,18343,40426,44947
round_k,2,11,34,110,348,1049,3210
round_shots,826,199,136,81,68,54,8
round_queries,826,995,2584,5265,13940,33750,45000
round_k,2,9,32,102,312,937,2812
round_shots,435,227,101,96,67,82,4
round_queries,435,1135,1919,5856,12663,46822,21020
round_k,2,9,30,94,285,857,2627
round_shots,983,261,108,103,98,69,4
round_queries,983,1305,2484,8137,24402,55545,29508
round_k,2,11,39,124,402,1229,3688
round_shots,709,209,150,90,76,58,3
round_queries,709,1045,2850,6210,16340,37874,19053
round_k,2,9,34,107,326,1018,3175
round_shots,757,192,98,93,106,80,5
round_queries,757,960,1862,5673,19398,44880,25825
round_k,2,9,30,91,280,854,2582
round_shots,665,146,85,105,98,58,9
round_queries,665,730,1615,5985,17542,31262,45945
round_k,2,9,28,89,269,824,2552
round_shots,632,254,80,91,70,195,3
round_queries,632,1270,1840,6279,15190,131625,19791
round_k,2,11,34,108,337,1079,3298
round_shots,564,105,185,87,84,145,10
round_queries,564,525,2775,4089,11844,62495,39090
round_k,2,7,23,70,215,651,1954
round_shots,674,158,122,110,109,66,3
round_queries,674,790,2318,7150,21473,42570,17739
round_k,2,9,32,98,322,977,2956
round_shots,1012,146,130,79,112,59,7
round_queries,1012,730,2470,4661,19824,32037,35679
round_k,2,9,29,88,271,828,2548
round_shots,978,223,80,86,67,56,4
round_queries,978,1115,1840,5934,14137,36008,23444
round_k,2,11,34,105,321,973,2930
round_shots,757,161,148,80,66,58,7
round_queries,757,805,2812,5520,14322,38338,43099
round_k,2,9,34,108,330,1014,3078
round_shots,957,147,140,106,75,64,64
round_queries,957,441,1260,3074,7125,18880,174912
round_k,1,4,14,47,147,449,1366
round_shots,660,240,105,87,71,62,3
round_queries,660,1200,2415,6525,16543,43586,19461
round_k,2,11,37,116,351,1071,3243
round_shots,707,144,197,122,72,58,17
round_queries,707,720,2955,6222,11880,28710,77197
round_k,2,7,25,82,247,749,2270
round_shots,743,150,90,86,80,59,13
round_queries,743,750,1710,4902,14800,33689,68237
round_k,2,9,28,92,285,866,2624
round_shots,843,228,115,186,82,75,8
round_queries,843,1140,2645,13950,18942,52125,50440
round_k,2,11,37,115,347,1050,3152
round_shots,757,215,128,78,75,54,4
round_queries,757,1075,2432,5070,14925,32562,22036
round_k,2,9,32,99,301,904,2754
round_shots,710,222,87,251,81,60,6
