round_queries,257,505,265
round_k,2,8,26
round_shots,134,69,3
round_queries,134,345,177
round_k,2,9,29
round_shots,134,54
round_queries,134,1026
round_k,2,9
round_shots,304,69,5
round_queries,304,345,275
round_k,2,8,27
round_shots,223,54
round_queries,223,1026
round_k,2,9
round_shots,259,35
round_queries,259,805
round_k,3,11
round_shots,177,82,5
round_queries,177,410,275
round_k,2,8,27
round_shots,188,48,5
round_queries,188,240,265
round_k,2,8,26
round_shots,317,47,2
round_queries,317,329,142
round_k,3,11,35
round_shots,277,104,3
round_queries,277,520,183
round_k,2,9,30
round_shots,209,69,5
round_queries,209,345,265
round_k,2,8,26
round_shots,223,53
round_queries,223,1007
round_k,2,9
round_shots,141,60,3
round_queries,141,300,177
round_k,2,9,29
round_shots,202,62,3
round_queries,202,310,189
round_k,2,8,31
round_shots,341,67,4
round_queries,341,335,244
round_k,2,9,30
round_shots,292,29
round_queries,292,725
round_k,3,12
